ID,Stagione,Giornata,Data,CASA,TRAS,GC,GT
19293021NAPBOL,1929-30,21,23/03/1930,NAPOLI,BOLOGNA,2.0,1.0
19293021PROJUV,1929-30,21,23/03/1930,PRO PATRIA,JUVENTUS,0.0,1.0
19293021ROMMIL,1929-30,21,23/03/1930,ROMA,MILAN,1.0,0.0
19293021TORGEN,1929-30,21,23/03/1930,TORINO,GENOA,1.0,1.0
19293021TRICRE,1929-30,21,23/03/1930,TRIESTINA,CREMONESE,4.0,0.0
19293022BREROM,1929-30,22,30/03/1930,BRESCIA,ROMA,1.0,1.0
19293022CREINT,1929-30,22,30/03/1930,CREMONESE,INTER,0.0,0.0
19293022GENMOD,1929-30,22,30/03/1930,GENOA,MODENA,2.0,2.0
19293022LAZTRI,1929-30,22,30/03/1930,LAZIO,TRIESTINA,0.0,0.0
19293022LIVNAP,1929-30,22,30/03/1930,LIVORNO,NAPOLI,3.0,0.0
19293022MILBOL,1929-30,22,30/03/1930,MILAN,BOLOGNA,0.0,1.0
19293022PADPRO,1929-30,22,30/03/1930,PADOVA,PRO PATRIA,7.0,0.0
19293022PROJUV,1929-30,22,30/03/1930,PRO VERCELLI,JUVENTUS,1.0,0.0
19293022TORALE,1929-30,22,30/03/1930,TORINO,ALESSANDRIA,2.0,2.0
19293023BOLTOR,1929-30,23,13/04/1930,BOLOGNA,TORINO,0.0,1.0
19293023GENCRE,1929-30,23,13/04/1930,GENOA,CREMONESE,2.0,1.0
19293023INTMIL,1929-30,23,13/04/1930,INTER,MILAN,2.0,0.0
19293023JUVALE,1929-30,23,13/04/1930,JUVENTUS,ALESSANDRIA,2.0,1.0
19293023LAZMOD,1929-30,23,13/04/1930,LAZIO,MODENA,4.0,0.0
19293023LIVPAD,1929-30,23,13/04/1930,LIVORNO,PADOVA,4.0,3.0
19293023NAPROM,1929-30,23,13/04/1930,NAPOLI,ROMA,1.0,1.0
19293023PROBRE,1929-30,23,11/05/1930,PRO PATRIA,BRESCIA,2.0,0.0
19293023PROTRI,1929-30,23,13/04/1930,PRO VERCELLI,TRIESTINA,6.0,0.0
19293024ALEGEN,1929-30,24,20/04/1930,ALESSANDRIA,GENOA,0.0,2.0
19293024CRELAZ,1929-30,24,20/04/1930,CREMONESE,LAZIO,1.0,3.0
19293024MILLIV,1929-30,24,20/04/1930,MILAN,LIVORNO,2.0,2.0
19293024MODJUV,1929-30,24,20/04/1930,MODENA,JUVENTUS,2.0,1.0
19293024PADINT,1929-30,24,20/04/1930,PADOVA,INTER,1.0,2.0
19293024PROBOL,1929-30,24,20/04/1930,PRO PATRIA,BOLOGNA,2.0,1.0
19293024ROMPRO,1929-30,24,20/04/1930,ROMA,PRO VERCELLI,7.0,0.0
19293024TORNAP,1929-30,24,20/04/1930,TORINO,NAPOLI,1.0,0.0
19293024TRIBRE,1929-30,24,20/04/1930,TRIESTINA,BRESCIA,1.0,0.0
19293025BOLPAD,1929-30,25,27/04/1930,BOLOGNA,PADOVA,1.0,2.0
19293025BREALE,1929-30,25,27/04/1930,BRESCIA,ALESSANDRIA,2.0,1.0
19293025GENTRI,1929-30,25,27/04/1930,GENOA,TRIESTINA,2.0,1.0
19293025INTROM,1929-30,25,27/04/1930,INTER,ROMA,6.0,0.0
19293025JUVTOR,1929-30,25,27/04/1930,JUVENTUS,TORINO,2.0,0.0
19293025LAZMIL,1929-30,25,27/04/1930,LAZIO,MILAN,0.0,0.0
19293025LIVPRO,1929-30,25,27/04/1930,LIVORNO,PRO PATRIA,2.0,1.0
19293025NAPMOD,1929-30,25,27/04/1930,NAPOLI,MODENA,2.0,1.0
19293025PROCRE,1929-30,25,27/04/1930,PRO VERCELLI,CREMONESE,3.0,2.0
19293026ALEPRO,1929-30,26,04/05/1930,ALESSANDRIA,PRO VERCELLI,0.0,2.0
19293026BOLLIV,1929-30,26,04/05/1930,BOLOGNA,LIVORNO,6.0,1.0
19293026CRENAP,1929-30,26,04/05/1930,CREMONESE,NAPOLI,0.0,0.0
19293026MILJUV,1929-30,26,04/05/1930,MILAN,JUVENTUS,1.0,1.0
19293026PADGEN,1929-30,26,04/05/1930,PADOVA,GENOA,0.0,0.0
19293026PROMOD,1929-30,26,04/05/1930,PRO PATRIA,MODENA,2.0,0.0
19293026ROMLAZ,1929-30,26,04/05/1930,ROMA,LAZIO,3.0,1.0
19293026TORBRE,1929-30,26,04/05/1930,TORINO,BRESCIA,5.0,0.0
19293026TRIINT,1929-30,26,04/05/1930,TRIESTINA,INTER,1.0,2.0
19293027CREMIL,1929-30,27,18/05/1930,CREMONESE,MILAN,0.0,2.0
